Track,Artist,Album Name,Release Date,ISRC,Spotify Streams,Spotify Popularity,Spotify Playlist Count,All Time Rank,Track Score,
Superhero (Heroes & Villains),Metro Boomin,HEROES & VILLAINS,12/2/2022,USUG12208783,706356280.0,77.0,"166,277",218,104.4,
Panda,Desiigner,Panda,2/26/2016,USUM71601094,1181348550.0,62.0,"170,002",219,104.2,
Push Ups,Drake,Push Ups,4/19/2024,USUG12402283,107762230.0,,"14,601",220,103.9,
Tattoo,Loreen,Tattoo,2/25/2023,SEUM72201638,518846340.0,77.0,"83,033",221,103.9,
Kiss Me More (feat. SZA),Doja Cat,Kiss Me More (feat. SZA),4/9/2021,USRC12100543,1823871908.0,76.0,"262,313",222,103.4,
What It Is (Block Boy) (with Kodak Black),Doechii,What It Is (Versions),3/17/2023,USUG12301757,102772879.0,61.0,"29,487",223,103.3,
Gata Only,FloyyMenor,Gata Only - Single,12/21/2023,QZNN22329474,4674619.0,,"1,841",224,103.1,
Illusion,Dua Lipa,Illusion,4/11/2024,GBAHT2400114,108501771.0,12.0,"7,43",225,103.1,
drivers license,Olivia Rodrigo,drivers license,1/8/2021,USUG12004749,2184754018.0,79.0,"250,778",226,102.9,
Used To Be Young,Miley Cyrus,Endless Summer Vacation,8/18/2023,USSM12306461,205468104.0,69.0,"30,639",227,102.4,
Cupid - Twin Ver.,FIFTY FIFTY,The Beginning: Cupid - Single,2/24/2023,KSA012239181,861388470.0,48.0,"103,04",229,102.3,
How Sweet,NewJeans,How Sweet,5/24/2024,USA2P2414843,33595707.0,79.0,"1,94",228,102.3,
Players,Coi Leray,Players,11/30/2022,USUM72222387,465588517.0,67.0,"91,658",230,101.8,
rockstar (feat. 21 Savage),Post Malone,rockstar,9/15/2017,USUM71710087,2960046642.0,77.0,"352,745",231,101.8,
Lil Somethin Somethin,Vayah,Lil Somethin Somethin,3/11/2023,QZDA72340256,11648.0,,6,232,101.5,
Con Calma,Daddy Yankee,Con Calma,1/24/2019,US2BU1900125,1353028938.0,73.0,"160,122",236,101.4,
Here With Me,d4vd,Here With Me,7/20/2022,QZMEM2209263,1042311849.0,80.0,"154,178",234,101.4,
Favorite Song,Toosii,Favorite Song,2/17/2023,USUM72301797,186579651.0,62.0,"45,668",235,101.4,
Si No Quieres No,Luis R Conriquez,Si No Quieres No - Single,3/9/2024,US3DF2417042,158131138.0,85.0,"5,423",233,101.4,
Mele Kalikimaka,Bing Crosby,"Essential Classics, Vol. 166: Bing Crosby",6/5/2024,ES31E2401197,186123398.0,,52,237,101.3,
MONTERO (Call Me By Your Name),Lil Nas X,MONTERO (Call Me By Your Name),3/26/2021,USSM12100531,1902241314.0,70.0,"316,054",238,100.8,
Voz Emplumada del Monte,Biomigrant,Voz Emplumada - EP,3/3/2023,QZ5FN2369288,42761.0,16.0,80,239,100.3,
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),10/26/2023,USUG12306691,406821432.0,,"20,404",240,100.2,
Si No Estï¿½,iï¿½ï¿½igo quin,Si No Estï¿½ï¿½s - Si,9/22/2022,TCAGM2208561,665716137.0,80.0,"97,057",241,100.1,
Glimpse of Us,Joji,Glimpse of Us,6/10/2022,USWB12201789,1262308912.0,74.0,"234,936",242,99.8,
Watermelon Sugar,Harry Styles,Watermelon Sugar,11/17/2019,USSM11912587,2708151499.0,82.0,"298,135",243,99.7,
Corazï¿½ï¿½n de Pi,Xavi,Corazï¿½ï¿½n de Piedra - Si,3/23/2024,USA2P2414894,172164034.0,82.0,"5,517",244,98.8,
Praise Jah In The Moonlight,YG Marley,Praise Jah In the Moonlight - Single,12/27/2023,CH7811111177,298853393.0,70.0,"50,137",245,98.5,
WHERE SHE GOES,Bad Bunny,WHERE SHE GOES,5/18/2023,QM6P42334528,717849037.0,72.0,"98,44",246,98.4,
Yandel 150,Yandel,Yandel 150,12/20/2022,QMFMF2215173,837576264.0,70.0,"102,545",247,98.1,
THATS WHAT I WANT,Lil Nas X,MONTERO,9/17/2021,USSM12105732,1062095453.0,72.0,"165,197",248,98.0,
Todo De Ti,Rauw Alejandro,Todo De Ti,5/20/2021,USSD12100202,1339352060.0,75.0,"188,874",249,98.0,
Chemical,Post Malone,Chemical,4/14/2023,USUM72305205,503574147.0,75.0,"79,679",250,97.6,
See You Again (feat. Charlie Puth),Wiz Khalifa,See You Again (feat. Charlie Puth),1/1/2015,USAT21703595,1891920348.0,78.0,"159,571",251,97.6,
Drip Too Hard (Lil Baby & Gunna),Lil Baby,Drip Too Hard,9/12/2018,USUG11801811,1486929795.0,76.0,"266,128",252,97.5,
Shooting Star,Kep1er,Kep1going On,6/3/2024,KRA492400678,1534062.0,,193,253,97.3,
Uptown Funk,Mark Ronson,Full Circle: The Live Anthology,11/20/2011,GBARL1401524,1993030264.0,77.0,"256,764",254,97.1,
love nwantiti (ah ah ah),CKay,CKay The First,8/30/2019,QMEU31910213,853451422.0,71.0,"172,458",256,96.9,
Mi Gente,J Balvin,Mi Gente,6/30/2017,FR22F1701790,1478442472.0,69.0,"189,504",257,96.4,
Late Night Talking,Harry Styles,Harry's House,5/20/2022,USSM12200610,959639297.0,76.0,"108,806",258,96.4,
Miss You,Oliver Tree,Miss You,8/5/2022,USAT22211992,631378937.0,51.0,"165,883",261,96.2,
girls like me don't cry,thï¿½ï,Girls Like Me Don't Cry,10/6/2022,QZLBC2200766,69931412.0,61.0,"13,22",260,96.2,
Yummy Fruits and Vegetables,D Billions,Yummy Fruits and Vegetables,10/20/2020,AEA0D2036458,2300838.0,35.0,543,259,96.2,
Dakiti,Bad Bunny,Dakiti,1/1/2020,QMFME2004132,1977947460.0,72.0,"245,685",262,96.1,
Starboy,The Weeknd,Starboy,9/22/2016,USUG11600976,3291262413.0,84.0,"366,133",265,95.7,
Sorry,Justin Bieber,Sorry,10/23/2015,USUM71516760,2089476497.0,78.0,"179,545",264,95.7,
Calling My Phone,Lil Tjay,Calling My Phone,2/12/2021,USSM12100388,777064903.0,71.0,"213,153",263,95.7,
Pink Venom,BLACKPINK,Pink Venom,8/19/2022,KRA402200017,736469450.0,68.0,"48,251",266,95.6,
I Can Do It With a Broken Heart,Taylor Swift,THE TORTURED POETS DEPARTMENT,4/18/2024,USUG12401040,250430303.0,84.0,"7,079",267,95.0,
death bed (coffee for your head),Powfu,"Some Boring, Love Stories, Pt. 2",2/9/2019,USSM12000925,1656385770.0,74.0,"283,938",268,94.8,
Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,HEROES & VILLAINS,12/2/2022,USUG12208784,682837690.0,80.0,"155,771",269,94.5,
MELTDOWN (feat. Drake),Travis Scott,MELTDOWN (feat. Drake),7/27/2023,USSM12305021,347647880.0,74.0,"106,908",270,94.3,
Moscow Mule,Bad Bunny,Un Verano Sin Ti,5/6/2022,QM6MZ2214875,1108031580.0,77.0,"121,256",272,94.1,
Something Just Like This,The Chainsmokers,Something Just Like This,2/22/2017,USQX91700278,2596644721.0,82.0,"278,237",273,94.0,
7 rings,Ariana Grande,7 rings,1/18/2019,USUM71900110,2262490403.0,77.0,"179,865",274,93.9,
Moonlight,Kali Uchis,Moonlight,2/24/2023,USUM72219486,701558859.0,74.0,"110,539",275,93.1,
Savage Love (Laxed - Siren Beat),Jawsh 685,Savage Love (Laxed - Siren Beat),6/11/2020,USSM12003798,1118038333.0,67.0,"142,905",276,93.1,
Bidi Bidi Bom Bom (Remasterizado 2024/30th Anniversary),Selena,Amor Prohibido (Remasterizado 2024/30th Anniversary),3/22/2024,USUM72402910,58157068.0,,30,277,93.0,
God's Plan,Drake,Diplomatic Immunity,1/20/2018,USCM51800004,2529948475.0,77.0,"313,741",278,92.9,
Sunroof,Nicky Youre,Sunroof,11/26/2021,QM24S2107064,879708559.0,12.0,"44,652",279,92.3,
La Vï¿½ï¿½c,Xavi,La Vï¿½ï¿½c,8/19/2023,USA2P2339944,521116293.0,81.0,"24,734",280,92.0,
MY EYES,Travis Scott,UTOPIA,7/28/2023,USSM12305007,403132906.0,78.0,"103,255",281,91.9,
WORK,ATEEZ,GOLDEN HOUR : Part.1,5/31/2024,KRD442400011,10135326.0,31.0,678,282,91.7,
Despacito - Remix,Luis Fonsi,Despacito Feat. Justin Bieber (Remix),4/17/2017,USUM71703825,1713294983.0,65.0,"134,7",284,91.5,
Ghost,Justin Bieber,Justice,3/19/2021,USUM72102635,1586830204.0,80.0,"151,923",283,91.5,
Dior,Pop Smoke,Meet The Woo,7/26/2019,USUM71914275,1070422470.0,72.0,"294,539",285,91.4,
New Baby Shark,Pinkfong,Pinkfong & Baby Shark's Space Adventure Songs,9/30/2022,QMDA62210237,720822868.0,17.0,13,286,91.2,
Breakeven,The Script,Breakeven (Official 4K Video),4/25/2024,GB1102400418,858979483.0,,1,287,91.1,
Una Noche en Medellï¿½,Cris Mj,Una Noche en Medellï¿½,1/21/2022,QM4TW2218961,839405565.0,75.0,"107,431",288,90.7,
SAD!,XXXTENTACION,SAD!,3/2/2018,USUG11800208,2218531106.0,75.0,"263,801",289,90.5,
Primera Cita,Carin Leon,La Primera Cita - Single,4/20/2023,QZQMB2104890,598006591.0,80.0,"35,842",290,90.5,
Efecto,Bad Bunny,Un Verano Sin Ti,5/6/2022,QM6MZ2214884,1293773697.0,77.0,"115,332",292,90.1,
Bï¿½ï¿½nï¿½ï¿½ï¿½ï¿½os Que Nï¿½ï¿½o Tï¿½ï¿½m Fim (Co,Isadora Pompeo,Bï¿½ï¿½nï¿½ï¿½ï¿½ï¿½os Que Nï¿½ï¿½o Tï¿½ï¿½m Fim (Co,11/9/2023,BRSME2301957,95536146.0,,"8,9",293,89.6,
Slow It Down,Benson Boone,Slow It Down,3/22/2024,USWB12400913,202667139.0,85.0,"11,945",294,89.4,
Yonaguni,Bad Bunny,Yonaguni,6/4/2021,QM6P42169803,1398634184.0,71.0,"177,082",295,88.6,
Heathens,Twenty One Pilots,Heathens,6/16/2016,USAT21601930,1777196966.0,78.0,"241,108",296,88.6,
Whoopty,CJ,Whoopty,8/20/2020,USA2P2031043,775664145.0,61.0,"213,464",297,88.6,
Super Shy,NewJeans,NewJeans 'Super Shy',7/7/2023,USA2P2330068,547471596.0,77.0,"48,103",298,88.4,
Happier,Marshmello,Happier - Single,8/16/2018,USUG11801651,2143821605.0,16.0,"220,298",299,87.9,
HARLEY QUINN,Fuerza Regida,HARLEY QUINN - Single,10/18/2023,QZ9QQ2300781,462284590.0,84.0,"31,617",301,87.7,
Baby Don't Hurt Me,David Guetta,Baby Don't Hurt Me - Single,4/7/2023,UKWLG2300016,509231024.0,79.0,"69,486",300,87.7,
Butter,BTS,Butter,5/21/2021,QM6MZ2156864,1257974135.0,70.0,"90,16",302,87.5,
Cinderella,Future,WE DON'T TRUST YOU,3/22/2024,USSM12402037,124945674.0,,"21,581",304,87.2,
Calma - Remix,Pedro Capï¿,Calma (Remix),10/5/2018,USSD11800343,1153753974.0,67.0,"118,846",303,87.2,
"CAN'T STOP THE FEELING! (Original Song From Dreamworks Animation's ""Trolls"")",Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song From Dreamworks Animation's ""Trolls"")",5/6/2016,USRC11600876,1733302434.0,72.0,"191,065",305,87.1,
Say So,Doja Cat,Hot Pink,11/7/2019,USRC11903454,1199270601.0,69.0,"161,574",306,87.0,
Ransom,Lil Tecca,Ransom,5/22/2019,QZ85M1940160,1355971796.0,77.0,"198,992",307,86.8,
Romantic Homicide,d4vd,Romantic Homicide,7/20/2022,QZMEM2232831,1136504636.0,81.0,"152,157",308,86.8,
Pink Skies,Zach Bryan,Pink Skies,5/24/2024,USWB12401947,60240739.0,84.0,"4,611",309,86.7,
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),10/21/2016,GBAHS1600363,1528107667.0,73.0,"170,648",310,86.6,
Danza Kuduro - Cover,MUSIC LAB JPN,A collection of Western music that will get you excited,11/15/2023,TCJPX2396779,1627429837.0,,12,355,86.6,
Rich Men North of Richmond,Oliver Anthony Music,Rich Men North of Richmond - Single,8/11/2023,QZPLS2305267,214598468.0,74.0,"66,613",312,86.5,
BESO,ROSALï¿½,RR,3/24/2023,USSM12301258,647201484.0,74.0,"81,393",313,86.3,
MTG QUEM Nï¿½ï¿½O QUER SO,DJ TOPO,MTG QUEM Nï¿½ï¿½O QUER SOU EU - Si,5/10/2024,BXIV82456543,51198446.0,80.0,"3,022",315,86.1,
Que Vuelvas,Carin Leon,Que Vuelvas - Single,12/9/2022,QZWT32210000,684853927.0,73.0,"42,893",314,86.1,
Just Wanna Rock,Lil Uzi Vert,Just Wanna Rock,10/17/2022,USAT22219211,665519026.0,68.0,"152,193",318,85.8,
Mood Swings (feat. Lil Tjay),Pop Smoke,Shoot For The Stars Aim For The Moon,7/3/2020,USUM72013632,785016247.0,70.0,"210,669",317,85.8,
Fuck Love (feat. Trippie Redd),XXXTENTACION,17,8/25/2017,USUYG1156898,1615274494.0,79.0,"203,617",319,85.6,
Rich Flex,Drake,Her Loss,11/4/2022,USUG12208598,812274757.0,73.0,"185,579",320,85.5,
Standing Next to You,Jung Kook,GOLDEN,11/3/2023,USA2P2348391,675865902.0,85.0,"23,181",321,85.5,
Congratulations,Post Malone,Congratulations,11/4/2016,USUM71614484,1984802459.0,75.0,"246,374",322,85.3,
Do It To It,ACRAZE,Do It To It,8/20/2021,QZFPL2100100,805019111.0,73.0,"238,887",324,85.2,
Tusa,KAROL G,Tusa,11/7/2019,USUM71921183,1497511486.0,68.0,"157,185",323,85.2,
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,Shoot For The Stars Aim For The Moon,7/3/2020,USUM72013355,1119350842.0,71.0,"272,485",325,84.8,
Good Good,USHER,Good Good,8/4/2023,QZS7J2331813,53825007.0,59.0,"14,742",326,84.7,
Austin,Dasha,Austin - Single,11/17/2023,QZTB92360479,273023490.0,87.0,"17,9",327,84.6,
Search & Rescue,Drake,Search & Rescue,4/7/2023,USUG12301601,337858357.0,69.0,"96,709",329,84.6,
TULUM,Peso Pluma,TULUM,6/28/2023,QM7282325573,390182196.0,74.0,"36,912",328,84.6,
Shivers,Ed Sheeran,#NAME?,1/1/2020,GBAHS2100671,1568058093.0,77.0,"188,855",330,84.4,
Coup du marteau,Tam Sir,Coup du marteau,12/8/2023,DGA0Q2357844,24933240.0,,"4,241",331,84.3,
Adderall (Corvette Corvette),Popp Hunna,Adderall (Corvette Corvette),10/14/2020,USA2P2036916,90383224.0,45.0,"24,868",332,84.1,
Full Senyum Sayang,Evan Loss,Full Senyum Sayang,4/28/2022,SGB502213458,18296870.0,,"1,967",333,84.0,
Sunroof,Nicky Youre,Sunroof,12/3/2021,USQX92202129,890752779.0,79.0,"104,69",334,83.8,
Los del Espacio,LIT killah,Los del Espacio - Single,6/1/2023,USWL12300725,373898429.0,72.0,"53,671",336,83.3,
Taste (feat. Offset),Tyga,Taste (feat. Offset),5/16/2018,USUYG1198481,1358105253.0,69.0,"217,189",338,83.1,
MAMIII,Becky G,MAMIII,2/10/2022,USRC12200425,911797058.0,74.0,"80,109",337,83.1,
Until I Found You,Stephen Sanchez,Until I Found You,9/1/2021,USUG12103651,1020452066.0,73.0,"169,696",339,83.0,
exes,Tate McRae,exes,11/17/2023,USRC12302756,323100055.0,,"27,272",340,83.0,
Banana (feat. Shaggy),Conkarah,Banana (feat. Shaggy),8/16/2019,QMRSZ1901446,27747363.0,41.0,"9,067",341,82.7,
Stick Season,Noah Kahan,Stick Season,7/8/2022,USUM72212470,965865213.0,86.0,"113,676",342,82.6,
Need To Know,Doja Cat,Need To Know,6/11/2021,USRC12101120,1178076856.0,71.0,"164,743",344,82.5,
kompa pasiï¿½,ýýýýýýýýýý,kompa pasiï¿½,4/12/2024,USUS12400227,29458027.0,78.0,"2,602",345,82.5,
Quï¿½ï¿½ Ago,Yuridia,Pa' Luego Es Tarde,10/20/2022,MXF012200200,394381902.0,73.0,"22,919",343,82.5,
Last Last,Burna Boy,Last Last,5/12/2022,USAT22204901,410722289.0,68.0,"130,203",346,82.4,
Ngopi Maszeh,Happy Asmara,Ngopi Maszeh,1/29/2023,SGB502314277,8034198.0,,756,347,82.2,
500lbs,Lil Tecca,500lbs,7/21/2023,USUM72309854,350584176.0,68.0,"79,228",349,82.1,
Knife Talk (with 21 Savage ft. Project Pat),Drake,Certified Lover Boy,9/3/2021,USUG12104409,732652170.0,72.0,"217,189",348,82.1,
BILLIE EILISH.,Armani White,BILLIE EILISH.,5/19/2022,SGB502248062,359416593.0,64.0,"91,114",350,82.0,
ýýýýýýýýýýýý,YOASOBI,ýýýýýýýýýýýý,4/12/2023,JPP302300157,356559943.0,69.0,"47,785",351,81.8,
Lï¿½ï¿½ï¿½AMOUR DE ,Billie Eilish,HIT ME HARD AND SOFT,5/17/2024,USUM72401990,84575291.0,85.0,"5,186",352,81.6,
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,One Thing At A Time,3/3/2023,USUG12300821,406319778.0,80.0,"42,283",353,81.5,
Madonna,Natanael Cano,Madonna - Single,3/8/2024,QZ9QQ2400185,272838329.0,85.0,"7,265",354,81.3,
deja vu,Olivia Rodrigo,deja vu,4/1/2021,USUG12101240,1606975517.0,80.0,"172,376",355,81.3,
6. A.M.,Azul,Motion is Emotion,10/7/2022,ES40B2200055,1186.0,,5,356,81.1,
CONTIGO (with Tiï¿½ï¿½,KAROL G,CONTIGO (with Tiï¿½ï¿½,2/15/2024,USUG12400966,162165853.0,85.0,"10,306",357,81.0,
Sequï¿½ï¿½ncia da,TRASHXRL,Sequï¿½ï¿½ncia da,5/8/2023,SGB502370315,148630357.0,33.0,"22,962",358,80.8,
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,5/17/2024,USUM72401993,100838516.0,87.0,"5,188",359,80.8,
Doja,Central Cee,Doja,7/21/2022,ZZOPM2237319,676519766.0,74.0,"192,241",360,80.5,
Kill This Love,BLACKPINK,Kill This Love,4/4/2019,KRA401900005,820840650.0,67.0,"63,934",361,80.4,
Lan,Zeynep Bastï¿½,Lan - Single,3/8/2024,TRAUR2400004,81246715.0,72.0,"4,073",362,80.3,
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",4/5/2024,USUG12401967,176290078.0,87.0,"13,47",363,80.2,
Sweet but Psycho,Ava Max,Sweet but Psycho,8/17/2018,USAT21802011,1668741024.0,76.0,"174,052",365,80.1,
Hey Mor,Ozuna,Hey Mor,10/6/2022,QMDA62203322,986132265.0,76.0,"97,956",364,80.1,
Ferrari,James Hype,Ferrari,3/15/2022,GB3CE2200004,626010147.0,74.0,"185,422",366,80.1,
Falling,Trevor Daniel,Falling,10/5/2018,USUYG1221109,1606023895.0,71.0,"225,643",367,80.0,
positions,Ariana Grande,positions,10/23/2020,USUM72019412,1432830108.0,74.0,"139,215",368,80.0,
Where Are You Now,Lost Frequencies,Where Are You Now,7/30/2021,BEHP42100067,1223329465.0,74.0,"211,823",370,79.9,
Amor Prohibido - Remasterizado 2024/30th Anniversary,Selena,Amor Prohibido (Remasterizado 2024/30th Anniversary),3/22/2024,USUM72402905,302177116.0,,34,369,79.9,
Save Your Tears,The Weeknd,After Hours,3/20/2020,USUG12000658,1995511952.0,80.0,"304,456",371,79.9,
Happier Than Ever,Billie Eilish,Happier Than Ever,7/30/2021,USUM72105936,1321878145.0,78.0,"189,487",372,79.9,
This Is What You Came For,Calvin Harris,This Is What You Came For,4/29/2016,GBARL1600460,1746790923.0,79.0,"204,049",373,79.8,
China,Anuel AA,China,7/19/2019,QM6P41952433,1178076574.0,68.0,"137,559",376,79.5,
"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,Frozen (Original Motion Picture Soundtrack / Deluxe Edition),1/1/2013,USWD11366376,759374819.0,69.0,"64,239",374,79.5,
Moonlight,XXXTENTACION,?,3/16/2018,USUG11800209,1885431727.0,77.0,"241,112",375,79.5,
I Had Some Help (feat. Morgan Wallen),Post Malone,I Had Some Help,5/10/2024,USUM72404993,250080413.0,,"2,711",377,79.4,
Smart,LE SSERAFIM,EASY,2/19/2024,USA2P2402103,159256689.0,74.0,"6,829",379,79.3,
That's What I Like,Bruno Mars,24K Magic,11/17/2016,USAT21602948,2075459887.0,80.0,"209,632",378,79.3,
Commando,Mavokali,Commando - Single,9/28/2022,QZTVM2210964,21667023.0,,"9,105",380,78.6,
The Business,Tiï¿½ï¿,The Business,9/16/2020,CYA112000624,1191635193.0,70.0,"255,697",381,78.3,
Ride It,Regard,Ride It,7/26/2019,GBCEN1900047,1349427877.0,76.0,"220,002",382,78.2,
Mwaki,Zerb,SURRENDER,9/27/2023,NLRD52339318,121234000.0,42.0,"36,468",383,77.9,
BICHOTA,KAROL G,BICHOTA,10/23/2020,USUM72019324,868091483.0,64.0,"86,379",385,77.8,
Renklensin,Reynmen,Renklensin - Single,4/19/2024,FRX282477628,54940563.0,75.0,"2,63",384,77.8,
Bad idea,Kurochuu,Missing,6/9/2024,CA5KR2466578,86203995.0,1.0,2,387,77.6,
The Hills,The Weeknd,The Hills,5/27/2015,USUG11500737,2306740926.0,80.0,"333,31",388,77.5,
Seven (feat. Latto) (Clean Ver.),Jung Kook,Seven (feat. Latto),7/14/2023,USA2P2330092,1673557134.0,72.0,"15,863",389,77.4,
SKINNY,Billie Eilish,HIT ME HARD AND SOFT,5/17/2024,USUM72401995,77212437.0,84.0,"4,083",390,77.3,
Te Felicito,Shakira,Te Felicito,4/21/2022,USQX92201764,719593291.0,67.0,"74,269",392,77.0,
Que Onda,Calle 24,Que Onda - Single,8/30/2023,USDXS2303230,642548537.0,81.0,"36,781",393,76.9,
Stumblin' In,CYRIL,Stumblin' In,11/10/2023,NLZ542301810,180784576.0,83.0,"22,208",394,76.9,
A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),4/12/2024,USUYG1543926,311928522.0,23.0,"1,668",395,76.8,
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem) - Single,9/22/2022,USSM12208809,428164381.0,68.0,"80,34",396,76.6,
Desesperados,Rauw Alejandro,VICE VERSA,12/10/2021,USSD12100779,1021480638.0,78.0,"119,558",397,76.6,
"Young Miko: Bzrp Music Sessions, Vol. 58",Bizarrap,"Young Miko: Bzrp Music Sessions, Vol. 58",1/10/2024,UYB282401001,224033701.0,,"20,266",398,76.6,
Sugar,Maroon 5,V (Deluxe),8/29/2014,USUM71410340,1838092894.0,75.0,"186,038",399,76.6,
I DONï¿½ï¿½ï¿½T WANNA DO THIS A,Juliï¿½ï¿½n Kh,King of the Dead,3/18/2024,QZLL92480334,564444844.0,,5,454,76.5,
Igual Que Un ï¿½ï¿½ngel (with Peso Pl,Kali Uchis,ORQUï¿½ï¿½,1/12/2024,USUM72315072,263568994.0,,"17,285",400,76.3,
"Jhoome Jo Pathaan (From ""Pathaan"") [Arabic Version]",Abd El Fattah Grini,"Jhoome Jo Pathaan (From ""Pathaan"") [Arabic Version] - Single",1/14/2023,INY092300003,1993244.0,28.0,245,402,76.2,
Old Town Road - Remix,Lil Nas X,Old Town Road,4/5/2019,USSM11902498,1527106099.0,68.0,"186,252",404,76.2,
Let Me Love You,DJ Snake,Encore,8/5/2016,QMZSY1600015,2147028486.0,80.0,"205,482",403,76.2,
Envolver,Anitta,Envolver - Single,11/11/2021,USWL12100576,635241142.0,65.0,"77,669",401,76.2,
Oublie-moi,Emkal,Oublie-moi,9/16/2022,FRDDV2200780,17992999.0,42.0,"11,288",405,76.0,
Malohat,Xamdam Sobirov,Malohat,4/20/2024,RUA1D2459522,75486.0,,13,406,75.9,
MAESTRO,SEVENTEEN,SEVENTEEN BEST ALBUM '17 IS RIGHT HERE',4/29/2024,USA2P2415975,35244286.0,75.0,"1,629",407,75.7,
NUEVA VIDA,Peso Pluma,Gï¿½ï¿½N,6/22/2023,QM7282306253,253464894.0,76.0,"22,779",408,75.6,
you broke me first,Tate McRae,you broke me first,4/17/2020,USRC12000832,1439465700.0,77.0,"169,076",409,75.6,
Relationship (feat. Future),Young Thug,Beautiful Thugger Girls,6/16/2017,USAT21701747,458957128.0,61.0,"89,812",410,75.5,
Beggin',Mï¿½ï¿½ne,Chosen,12/8/2017,ITB001700846,1601293263.0,79.0,"358,76",413,75.4,
Faint,Linkin Park,Papercuts,4/12/2024,USWB12401896,670009914.0,,3,412,75.4,
Pretty - Sped Up,MEYY,Pretty,6/7/2023,FRD9M2300690,1867282.0,40.0,498,411,75.4,
Hawï¿½,Maluma,Hawï¿½,7/29/2020,USSD12000190,1289186767.0,73.0,"123,303",415,75.3,
LA FALDA,Myke Towers,LA FALDA - Single,11/22/2023,USWL12302952,367399860.0,82.0,"29,235",416,75.3,
act ii: date @ 8,4batz,act ii: date @ 8,12/7/2023,QZS7J2359132,153364964.0,,"29,3",414,75.3,
Cradles,Sub Urban,Cradles,1/4/2019,GB2LD1800949,737097685.0,68.0,"155,765",418,75.2,
Roses - Imanbek Remix,SAINt JHN,Roses (Imanbek Remix),5/4/2019,RUB421901499,1927961994.0,72.0,"323,997",417,75.2,
Angel Numbers / Ten Toes,Chris Brown,11:11,11/10/2023,USRC12302900,179565178.0,75.0,"40,225",419,75.1,
Never Lose Me,Flo Milli,Never Lose Me - Single,11/30/2023,USRC12303379,278132516.0,,"23,58",420,75.1,
Reggaeton Champagne,Bellakath,Kittyponeo,10/5/2023,BK4DA2319233,224429894.0,,"17,159",421,75.1,
MASHA ULTRAFUNK,HISTED,MASHA ULTRAFUNK,3/8/2024,QZES82406061,32435333.0,76.0,"2,141",422,74.9,
Under The Influence,Chris Brown,Indigo (Extended),10/4/2019,USRC11902743,1249760413.0,79.0,"202,465",423,74.9,
Life Goes On,Oliver Tree,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",7/17/2020,USAT22007153,568230113.0,68.0,"142,225",424,74.8,
Si Una Vez (Remasterizado 2024/30th Anniversary),Selena,Amor Prohibido (Remasterizado 2024/30th Anniversary),3/22/2024,USUM72402913,212272036.0,,13,425,74.7,
BATTER UP,BABYMONSTER,BABYMONSTER Debut Digital Single [BATTER UP],11/27/2023,KRA402300048,121497542.0,80.0,"6,748",426,74.5,
SI NO ES CONTIGO,Cris Mj,SI NO ES CONTIGO,5/23/2024,QM6N22466972,45287928.0,81.0,"2,099",427,74.5,
Trance (with Travis Scott & Young Thug),Metro Boomin,HEROES & VILLAINS,12/2/2022,USUG12208787,637325281.0,79.0,"142,076",429,74.4,
Rock and A Hard Place,Bailey Zimmerman,Rock and A Hard Place,6/10/2022,USWB12201797,412845771.0,73.0,"59,749",430,74.4,
obsessed,Olivia Rodrigo,GUTS (spilled),3/22/2024,USUG12305564,129968407.0,,"6,621",428,74.4,
Eyes Closed,Imagine Dragons,Eyes Closed,4/3/2024,USUM72402448,51224852.0,,"5,159",431,74.2,
Wanna Be,GloRilla,Wanna Be (Alternate Versions),4/3/2024,USUM72403374,66836198.0,77.0,"4,228",433,74.1,
Don't Let Me Down,The Chainsmokers,Pop Party,1/1/2016,USQX91600011,1888829482.0,76.0,"206,507",432,74.1,
DDU-DU DDU-DU,BLACKPINK,SQUARE UP,6/15/2018,KRA401800096,701726499.0,65.0,"51,129",434,74.0,
telepatï¿½,Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ï¿½,11/18/2020,GBUM72005748,1151629030.0,77.0,"201,783",435,73.9,
Wake Me Up,Avicii,TRUE,1/1/2013,SEUM71301326,2325017580.0,81.0,"347,004",436,73.7,
